ARG	feature	score_RF	score_Odds
K19077	K00946	0.0033272195932758	-1.1143942676126537
K19077	K00949	0.0012052581810299	0.9982989776427832
K19077	K00975	2.590042465309273e-05	0.5870269870354514
K19077	K00979	0.0005483163589874	-0.8223421365598425
K19077	K00990	2.920697499658156e-05	-0.7460491865671489
K19077	K00995	5.239866036707029e-07	0.2145098221463995
K19077	K01005	0.0009466642700658	0.8716577913335462
K19077	K01006	0.0001399569476263	0.745785721990416
K19077	K01007	6.019540703937664e-08	-0.3726708915413146
K19077	K01012	9.552658080853649e-05	0.3676989055287812
K19077	K01029	4.853742877205381e-06	-0.619191847979747
K19077	K01042	5.570760288400466e-05	-0.2267285782889865
K19077	K01048	1.29299459996215e-06	-0.1032631560805429
K19077	K01057	3.143891201771827e-07	-0.7708137300656077
K19077	K01058	7.034111846469167e-16	-0.0875002654651704
K19077	K01060	5.138038935879304e-06	-0.1071285457377389
K19077	K01079	8.106538278075799e-05	-0.8104389718614546
K19077	K01092	0.0055308145749241	-1.1672853703035515
K19077	K01104	7.160496671468007e-06	0.1266146475585322
K19077	K01129	7.617175085213443e-06	0.1771534204955837
K19077	K01167	3.979498070684361e-06	-0.0780971400690905
K19077	K01175	2.517119823541519e-16	-0.1561548653686252
K19077	K01191	8.114826857983904e-05	-0.07699071951694
K19077	K01192	8.239235303143736e-05	-0.1726146137188826
K19077	K01241	4.714842627237994e-16	-0.3254466448418192
K19077	K01251	0.0030586291701429	-1.1001184324660156
K19077	K01255	0.0037255358067406	-1.1323617531456664
K19077	K01256	6.22129054233306e-05	-0.8286096306375385
K19077	K01262	8.073452911136881e-07	0.2112999195193174
K19077	K01278	2.689582195699643e-16	-0.2505903119423885
K19077	K01322	5.396332751429672e-17	-0.4242984846215555
K19077	K01432	9.91303057177792e-16	-0.0952125692197307
K19077	K01438	7.281790528618656e-07	-0.4304586180618647
K19077	K01439	0.0012510337625066	-0.9259287213374636
K19077	K01449	0.0059031184693725	1.1204132381958298
K19077	K01457	3.078072120743674e-16	-0.1425628050591004
K19077	K01458	7.435313349237437e-09	-0.2602231145657178
K19077	K01463	4.811046944885655e-16	-0.1707643979700273
K19077	K01466	9.690123025622883e-07	-0.0640889945612483
K19077	K01469	4.7239574131656095e-16	-0.073338852489413
K19077	K01474	1.0256179465621656e-07	-0.1042026113642173
K19077	K01476	8.06112072800443e-06	-0.2832808070855827
K19077	K01478	6.368733951511133e-05	-0.3202101985108902
K19077	K01480	0.0004128907002589	-0.7092503641448589
K19077	K01486	0.006490156668809	1.0987565840604685
K19077	K01505	4.0697373310350335e-16	-0.232096073747246
K19077	K01507	0.0015365431189842	-1.0292555432200514
K19077	K01512	0.0003907631616308	-0.0007802010835443
K19077	K01523	7.943003375088807e-16	-0.3149623230103467
K19077	K01531	5.211630513385748e-06	-0.0933686974358668
K19077	K01537	0.0015805227306803	-0.1853761335766592
K19077	K01545	3.5351622026008277e-16	-0.0769463287105345
K19077	K01551	1.494024156566857e-06	-0.1827977825493609
K19077	K01555	3.428763763248733e-16	-0.2931998133293311
K19077	K01599	0.0064738063897174	-1.1890638535550162
K19077	K01610	0.0004182231965798	0.6925676385764739
K19077	K01611	0.0001353341938943	-0.3715833276325184
K19077	K01627	0.0003387571804781	-0.8111472642936154
K19077	K01631	4.756082004131269e-16	-0.0908090254112064
K19077	K01637	4.3802543923865656e-16	-0.5851013950776245
K19077	K01638	0.0002203988780156	-0.7663178987060881
K19077	K01640	1.4987482938886553e-05	-0.7268042639761211
K19077	K01647	0.0168839833776389	-1.2836188446998744
K19077	K01657	0.0037804360686218	-0.5506659296723664
K19077	K01664	9.774686388978094e-05	-0.7318417635154393
K19077	K01665	9.742111941493792e-06	-0.134088122607234
K19077	K01669	0.0007050839301223	-0.898256829906402
K19077	K01673	0.0172699675811839	-1.2916366370783892
K19077	K01676	1.6520525409295683e-16	-0.624369009684022
K19077	K01690	4.4265695091627997e-16	-0.3175207662379876
K19077	K01707	5.807874181456342e-16	-0.1100120662729687
K19077	K01712	0.0001143188129075	-0.7802872550835382
K19077	K01715	0.0133870093511361	1.1825626446543254
K19077	K01734	0.000903263614718	0.9441792062154444
K19077	K01739	9.025833603124026e-05	-0.6249179551915045
K19077	K01745	0.0004673952208802	-0.8123976983835965
K19077	K01759	0.0005279416779082	-0.0269799807340277
K19077	K01760	7.957634959076179e-05	-0.6997836791594372
K19077	K01809	0.0007452666550577	-0.0026650729415501
K19077	K01820	7.21041507580031e-17	-0.1520404722496169
K19077	K01821	0.0001532380676297	-0.6544561406154294
K19077	K01826	4.97847262127603e-16	-0.1021360094812589
K19077	K01840	8.030807054469041e-16	-0.3339234195330405
K19077	K01843	3.980636130849684e-05	-0.1366687466404915
K19077	K01845	0.0061820432529814	-1.1254100295872431
K19077	K01857	2.264186695671852e-16	-0.0707744007143438
K19077	K01858	8.817423369687515e-16	-0.1653331060483347
K19077	K01878	0.0004559188874028	-0.7651825879675184
K19077	K01880	0.000698756954412	0.7851843817185231
K19077	K01886	0.0002758426879941	0.6768661036249478
K19077	K01893	0.0017444347222785	0.0486527710959984
K19077	K01897	0.0024995402191687	-1.1258786356421762
K19077	K01902	0.0134463066312398	-1.259164143101154
K19077	K01907	2.616304376574044e-16	-0.2665974487161231
K19077	K01911	1.936480017398564e-07	-0.1681853768988596
K19077	K01912	0.0005747246448458	-0.0184375799238383
K19077	K01916	6.720661245965509e-05	-0.4218872800018822
K19077	K01919	1.5964911657445677e-06	-0.6860956887798517
K19077	K01920	4.383160722477208e-16	-0.5343151843477297
K19077	K01935	0.0013813619559301	-0.0970320295064404
K19077	K01938	0.0010740278498628	0.9744730663084724
K19077	K01950	0.0015351111642635	0.8919470058234266
K19077	K01952	0.0003999289347361	0.7960527854839237
K19077	K01963	0.0001408630847804	0.3555022290069267
K19077	K01968	2.193017932091356e-16	-0.2626727936442453
K19077	K01969	3.4254211276212187e-16	-0.711134243239429
K19077	K01975	0.0002182885599274	-0.7188673281963538
K19077	K01991	7.676059053099409e-05	-0.7957523181474265
K19077	K01992	1.651995325668109e-05	0.0085384425199535
K19077	K01998	0.0009818608491575	-0.140260985077549
K19077	K02011	0.0007965386324127	-0.0100726443675919
K19077	K02016	0.007666669738935	-0.6416075819836748
K19077	K02017	3.430073002612113e-16	-0.4720851581642359
K19077	K02026	0.0030017939130744	-0.7245322579210863
K19077	K02027	0.0024395867455227	-0.5257228041560698
